directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217082719/S001,my_experiment,P_210217082719,1,1,1,1,2.42491,4.46455,success,1,Northeast,Southwest,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217082719/S001,my_experiment,P_210217082719,1,2,1,2,4.46455,6.397654,success,1,Southeast,Northwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217082719/S001,my_experiment,P_210217082719,1,3,1,3,6.397654,8.448378,success,1,Southeast,Northwest,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/P_210217082719/S001,my_experiment,P_210217082719,1,4,1,4,8.448378,11.08046,success,1,Northeast,Southwest,target_movement_T004.csv,distractor_movement_T004.csv
my_experiment/P_210217082719/S001,my_experiment,P_210217082719,1,5,1,5,11.08046,12.90556,,1,Southwest,Northeast,target_movement_T005.csv,distractor_movement_T005.csv
