directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time
senior_project/P_210106121249/S001,senior_project,P_210106121249,1,1,1,1,1.45353,4.195916
senior_project/P_210106121249/S001,senior_project,P_210106121249,1,2,1,2,4.195916,6.671304
