directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction
my_experiment/P_210202222714/S001,my_experiment,P_210202222714,1,1,1,1,1.387519,4.008819,fail,1,,Northeast
my_experiment/P_210202222714/S001,my_experiment,P_210202222714,1,2,1,2,4.008819,7.22449,fail,1,,Northeast
my_experiment/P_210202222714/S001,my_experiment,P_210202222714,1,3,1,3,7.22449,9.414196,fail,1,,Northeast
my_experiment/P_210202222714/S001,my_experiment,P_210202222714,1,4,1,4,9.414196,10.98841,,1,,Northeast
