directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time
senior_project/P_201208234103/S001,senior_project,P_201208234103,1,1,1,1,1.590327,3.910192
senior_project/P_201208234103/S001,senior_project,P_201208234103,1,2,1,2,3.910192,9.166179
senior_project/P_201208234103/S001,senior_project,P_201208234103,1,3,1,3,9.166179,12.46
senior_project/P_201208234103/S001,senior_project,P_201208234103,1,4,1,4,12.46,14.58726

