directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time
senior_project/P_210106120458/S001,senior_project,P_210106120458,1,1,1,1,4.01416,14.69743
senior_project/P_210106120458/S001,senior_project,P_210106120458,1,2,1,2,14.69743,18.30309
