directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217083536/S001,my_experiment,P_210217083536,1,1,1,1,2.153124,4.09142,success,1,Southeast,Northwest,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217083536/S001,my_experiment,P_210217083536,1,2,1,2,4.09142,6.173048,success,1,Northeast,Southwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217083536/S001,my_experiment,P_210217083536,1,3,1,3,6.173048,7.454464,,1,,,target_movement_T003.csv,distractor_movement_T003.csv
