directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210202224000/S001,my_experiment,P_210202224000,1,1,1,1,1.990329,4.011144,fail,1,,Northeast,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210202224000/S001,my_experiment,P_210202224000,1,2,1,2,4.011144,5.927742,fail,1,,Northeast,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210202224000/S001,my_experiment,P_210202224000,1,3,1,3,5.927742,7.388459,,1,,,target_movement_T003.csv,distractor_movement_T003.csv
