timestamp,log_type,message
0,Log,Loaded: C:\Users\aisli\OneDrive\Documents\GitHub\Senior Project\New Unity ProjectctQuarentine\participant_list.csv
2.348517,Log,Updating: C:\Users\aisli\OneDrive\Documents\GitHub\Senior Project\New Unity ProjectctQuarentine\participant_list.csv
3.353064,Log,Stimulus Direction is: Northeast
3.353064,Log,Coherence at 0
3.353064,Log,0
3.353064,Log,1
3.353064,Log,2
3.353064,Log,3
3.353064,Log,4
3.353064,Log,5
3.353064,Log,6
3.353064,Log,7
3.353064,Log,8
3.353064,Log,9
3.353064,Log,10
3.353064,Log,11
3.353064,Log,12
3.353064,Log,13
3.353064,Log,14
3.353064,Log,15
3.353064,Log,16
3.353064,Log,17
3.353064,Log,18
3.353064,Log,19
3.353064,Log,20
3.353064,Log,21
3.353064,Log,22
3.353064,Log,23
3.353064,Log,24
3.353064,Log,25
3.353064,Log,26
3.353064,Log,27
3.353064,Log,28
3.353064,Log,29
3.353064,Log,30
3.353064,Log,31
3.353064,Log,32
3.353064,Log,33
3.353064,Log,34
3.353064,Log,35
3.353064,Log,36
3.353064,Log,37
3.353064,Log,38
3.353064,Log,39
3.353064,Log,40
3.353064,Log,41
3.353064,Log,42
3.353064,Log,43
3.353064,Log,44
3.353064,Log,45
3.353064,Log,46
3.353064,Log,47
3.353064,Log,48
3.353064,Log,49
3.353064,Log,50
3.353064,Log,51
3.353064,Log,52
3.353064,Log,53
3.353064,Log,54
3.353064,Log,55
3.353064,Log,56
3.353064,Log,57
3.353064,Log,58
3.353064,Log,59
3.353064,Log,60
3.353064,Log,61
3.353064,Log,62
3.353064,Log,63
3.353064,Log,64
3.353064,Log,65
3.353064,Log,66
3.353064,Log,67
3.353064,Log,68
5.355282,Log,Stimulus Direction is: Northeast
5.355282,Log,Coherence at 0
5.355282,Log,0
5.355282,Log,1
5.355282,Log,2
5.355282,Log,3
5.355282,Log,4
5.355282,Log,5
5.355282,Log,6
5.355282,Log,7
5.355282,Log,8
5.355282,Log,9
5.355282,Log,10
5.355282,Log,11
5.355282,Log,12
5.355282,Log,13
5.355282,Log,14
5.355282,Log,15
5.355282,Log,16
5.355282,Log,17
5.355282,Log,18
5.355282,Log,19
5.355282,Log,20
5.355282,Log,21
5.355282,Log,22
5.355282,Log,23
5.355282,Log,24
5.355282,Log,25
5.355282,Log,26
5.355282,Log,27
5.355282,Log,28
5.355282,Log,29
5.355282,Log,30
5.355282,Log,31
5.355282,Log,32
5.355282,Log,33
5.355282,Log,34
5.355282,Log,35
5.355282,Log,36
5.355282,Log,37
5.355282,Log,38
5.355282,Log,39
5.355282,Log,40
