directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217092125/S001,my_experiment,P_210217092125,1,1,1,1,1.554935,3.767541,success,1,Northeast,Southwest,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217092125/S001,my_experiment,P_210217092125,1,2,1,2,3.767541,5.761657,success,1,Northwest,Southeast,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217092125/S001,my_experiment,P_210217092125,1,3,1,3,5.761657,7.873264,,1,Southeast,Northwest,target_movement_T003.csv,distractor_movement_T003.csv
