directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217112411/S001,my_experiment,P_210217112411,1,1,1,1,1.740067,3.902037,success,1,Northwest,Southeast,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217112411/S001,my_experiment,P_210217112411,1,2,1,2,3.902037,5.959054,success,1,Northeast,Southwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217112411/S001,my_experiment,P_210217112411,1,3,1,3,5.959054,8.011473,success,1,Southeast,Northwest,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/P_210217112411/S001,my_experiment,P_210217112411,1,4,1,4,8.011473,10.11634,,2,Northeast,Southwest,target_movement_T004.csv,distractor_movement_T004.csv
