directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,1,1,1,1.850174,3.716521,success,1,Southeast,Northwest,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,2,1,2,3.716521,5.684125,success,1,Northwest,Southeast,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,3,1,3,5.684125,7.632535,success,1,Southwest,Northeast,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,4,1,4,7.632535,9.533746,success,2,Northwest,Southeast,target_movement_T004.csv,distractor_movement_T004.csv
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,5,1,5,9.533746,11.49329,success,2,Northwest,Southeast,target_movement_T005.csv,distractor_movement_T005.csv
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,6,1,6,11.49329,13.47672,success,2,Southwest,Northeast,target_movement_T006.csv,distractor_movement_T006.csv
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,7,1,7,13.47672,15.4195,success,3,Southeast,Northwest,target_movement_T007.csv,distractor_movement_T007.csv
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,8,1,8,15.4195,17.24003,success,3,Northwest,Southeast,target_movement_T008.csv,distractor_movement_T008.csv
my_experiment/P_210217090951/S001,my_experiment,P_210217090951,1,9,1,9,17.24003,19.06631,success,3,Northwest,Southeast,target_movement_T009.csv,distractor_movement_T009.csv

