directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217092049/S001,my_experiment,P_210217092049,1,1,1,1,1.604306,3.576237,success,1,Southwest,Northeast,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217092049/S001,my_experiment,P_210217092049,1,2,1,2,3.576237,5.443506,success,1,Southeast,Northwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217092049/S001,my_experiment,P_210217092049,1,3,1,3,5.443506,7.263631,success,1,Southwest,Northeast,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/P_210217092049/S001,my_experiment,P_210217092049,1,4,1,4,7.263631,9.16027,success,2,Northeast,Southwest,target_movement_T004.csv,distractor_movement_T004.csv
my_experiment/P_210217092049/S001,my_experiment,P_210217092049,1,5,1,5,9.16027,10.58783,,2,,,target_movement_T005.csv,distractor_movement_T005.csv
