directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,1,1,1,1.85503,3.959806,success,1,Northwest,Southeast,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,2,1,2,3.959806,6.071434,success,1,Southeast,Northwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,3,1,3,6.071434,8.06911,success,1,Southwest,Northeast,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,4,1,4,8.06911,9.990393,success,2,Northeast,Southwest,target_movement_T004.csv,distractor_movement_T004.csv
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,5,1,5,9.990393,11.81759,success,2,Northwest,Southeast,target_movement_T005.csv,distractor_movement_T005.csv
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,6,1,6,11.81759,13.62982,success,2,Northeast,Southwest,target_movement_T006.csv,distractor_movement_T006.csv
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,7,1,7,13.62982,15.68048,success,3,Northeast,Southwest,target_movement_T007.csv,distractor_movement_T007.csv
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,8,1,8,15.68048,17.62421,success,3,Northeast,Southwest,target_movement_T008.csv,distractor_movement_T008.csv
my_experiment/P_210217111923/S001,my_experiment,P_210217111923,1,9,1,9,17.62421,21.44778,success,3,Southeast,Northwest,target_movement_T009.csv,distractor_movement_T009.csv

