directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210324132427/S001,my_experiment,P_210324132427,1,1,1,1,12.54392,19.87041,success,1,Northeast,Southwest,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210324132427/S001,my_experiment,P_210324132427,1,2,1,2,19.87041,24.78113,fail,1,Northeast,Southwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210324132427/S001,my_experiment,P_210324132427,1,3,1,3,24.78113,53.28374,,1,Northeast,Southwest,target_movement_T003.csv,distractor_movement_T003.csv
