directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217104503/S001,my_experiment,P_210217104503,1,1,1,1,1.68137,3.733789,success,1,Northwest,Southeast,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217104503/S001,my_experiment,P_210217104503,1,2,1,2,3.733789,5.676304,success,1,Northeast,Southwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217104503/S001,my_experiment,P_210217104503,1,3,1,3,5.676304,7.770546,success,1,Southwest,Northeast,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/P_210217104503/S001,my_experiment,P_210217104503,1,4,1,4,7.770546,9.721834,success,2,Northeast,Southwest,target_movement_T004.csv,distractor_movement_T004.csv
my_experiment/P_210217104503/S001,my_experiment,P_210217104503,1,5,1,5,9.721834,10.96188,,2,,,target_movement_T005.csv,distractor_movement_T005.csv
