directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217112024/S001,my_experiment,P_210217112024,1,1,1,1,1.049082,3.184356,success,1,Southwest,Northeast,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217112024/S001,my_experiment,P_210217112024,1,2,1,2,3.184356,5.107317,success,1,Southwest,Northeast,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217112024/S001,my_experiment,P_210217112024,1,3,1,3,5.107317,7.166098,fail,1,Northeast,Southwest,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/P_210217112024/S001,my_experiment,P_210217112024,1,4,1,4,7.166098,12.40117,success,1,Southwest,Northeast,target_movement_T004.csv,distractor_movement_T004.csv
my_experiment/P_210217112024/S001,my_experiment,P_210217112024,1,5,1,5,12.40117,14.67046,success,1,Northeast,Southwest,target_movement_T005.csv,distractor_movement_T005.csv
my_experiment/P_210217112024/S001,my_experiment,P_210217112024,1,6,1,6,14.67046,20.21204,success,1,Northeast,Southwest,target_movement_T006.csv,distractor_movement_T006.csv
my_experiment/P_210217112024/S001,my_experiment,P_210217112024,1,7,1,7,20.21204,22.4935,success,2,Southeast,Northwest,target_movement_T007.csv,distractor_movement_T007.csv
my_experiment/P_210217112024/S001,my_experiment,P_210217112024,1,8,1,8,22.4935,24.5087,,2,Northeast,Southwest,target_movement_T008.csv,distractor_movement_T008.csv
