directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217083403/S001,my_experiment,P_210217083403,1,1,1,1,2.192649,4.230435,success,1,Northeast,Southwest,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217083403/S001,my_experiment,P_210217083403,1,2,1,2,4.230435,6.234109,success,1,Northeast,Southwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217083403/S001,my_experiment,P_210217083403,1,3,1,3,6.234109,8.087036,fail,1,Southwest,Northeast,target_movement_T003.csv,distractor_movement_T003.csv
my_experiment/P_210217083403/S001,my_experiment,P_210217083403,1,4,1,4,8.087036,10.05928,success,1,Southwest,Northeast,target_movement_T004.csv,distractor_movement_T004.csv
my_experiment/P_210217083403/S001,my_experiment,P_210217083403,1,5,1,5,10.05928,12.08805,success,1,Southeast,Northwest,target_movement_T005.csv,distractor_movement_T005.csv
my_experiment/P_210217083403/S001,my_experiment,P_210217083403,1,6,1,6,12.08805,14.24982,success,1,Northeast,Southwest,target_movement_T006.csv,distractor_movement_T006.csv
my_experiment/P_210217083403/S001,my_experiment,P_210217083403,1,7,1,7,14.24982,16.36123,fail,1,Southeast,Northwest,target_movement_T007.csv,distractor_movement_T007.csv
my_experiment/P_210217083403/S001,my_experiment,P_210217083403,1,8,1,8,16.36123,17.65829,,1,,,target_movement_T008.csv,distractor_movement_T008.csv
