timestamp,log_type,message
0,Log,Loaded: C:\Users\aisli\OneDrive\Documents\GitHub\Senior Project\Senior-Project\participant_list.csv
2.663637,Log,Updating: C:\Users\aisli\OneDrive\Documents\GitHub\Senior Project\Senior-Project\participant_list.csv
3.665747,Log,From CreateDotMotion: Southwest
3.665747,Log,Stimulus Direction is: Southwest
3.665747,Log,Coherence at 0
3.665747,Log,0
3.665747,Log,1
3.665747,Log,2
3.665747,Log,3
3.665747,Log,4
3.665747,Log,5
3.665747,Log,6
3.665747,Log,7
3.665747,Log,8
3.665747,Log,9
3.665747,Log,10
3.665747,Log,11
3.665747,Log,12
3.665747,Log,13
3.665747,Log,14
3.665747,Log,15
3.665747,Log,16
3.665747,Log,17
3.665747,Log,18
3.665747,Log,19
3.665747,Log,20
3.665747,Log,21
3.665747,Log,22
3.665747,Log,23
3.665747,Log,24
3.665747,Log,25
3.665747,Log,26
3.665747,Log,27
3.665747,Log,28
3.665747,Log,29
3.665747,Log,30
3.665747,Log,31
3.665747,Log,32
3.665747,Log,33
3.665747,Log,34
3.665747,Log,35
3.665747,Log,36
3.665747,Log,37
3.665747,Log,38
3.665747,Log,39
3.665747,Log,40
3.665747,Log,41
3.665747,Log,42
3.665747,Log,43
3.665747,Log,44
3.665747,Log,45
3.665747,Log,46
3.665747,Log,47
3.665747,Log,48
3.665747,Log,49
3.665747,Log,50
3.665747,Log,51
3.665747,Log,52
3.665747,Log,53
3.665747,Log,54
3.665747,Log,55
3.665747,Log,56
3.665747,Log,57
3.665747,Log,58
3.665747,Log,59
3.665747,Log,60
3.665747,Log,61
3.665747,Log,62
3.665747,Log,63
3.665747,Log,64
3.665747,Log,65
3.665747,Log,66
3.665747,Log,67
3.665747,Log,68
4.68667,Log,trial success
5.691533,Log,From CreateDotMotion: Northeast
5.691533,Log,Stimulus Direction is: Northeast
5.691533,Log,Coherence at 0
6.912816,Log,trial success
7.916601,Log,From CreateDotMotion: Northwest
7.916601,Log,Stimulus Direction is: Northwest
7.916601,Log,Coherence at 0
7.916601,Log,0
7.916601,Log,1
7.916601,Log,2
7.916601,Log,3
7.916601,Log,4
7.916601,Log,5
7.916601,Log,6
7.916601,Log,7
7.916601,Log,8
7.916601,Log,9
7.916601,Log,10
7.916601,Log,11
7.916601,Log,12
7.916601,Log,13
7.916601,Log,14
7.916601,Log,15
7.916601,Log,16
7.916601,Log,17
7.916601,Log,18
7.916601,Log,19
7.916601,Log,20
7.916601,Log,21
7.916601,Log,22
7.916601,Log,23
7.916601,Log,24
7.916601,Log,25
7.916601,Log,26
7.916601,Log,27
7.916601,Log,28
7.916601,Log,29
7.916601,Log,30
7.916601,Log,31
7.916601,Log,32
7.916601,Log,33
7.916601,Log,34
7.916601,Log,35
7.916601,Log,36
7.916601,Log,37
7.916601,Log,38
7.916601,Log,39
7.916601,Log,40
7.916601,Log,41
7.916601,Log,42
7.916601,Log,43
7.916601,Log,44
7.916601,Log,45
7.916601,Log,46
7.916601,Log,47
7.916601,Log,48
7.916601,Log,49
7.916601,Log,50
7.916601,Log,51
7.916601,Log,52
7.916601,Log,53
7.916601,Log,54
7.916601,Log,55
7.916601,Log,56
7.916601,Log,57
7.916601,Log,58
7.916601,Log,59
7.916601,Log,60
7.916601,Log,61
7.916601,Log,62
7.916601,Log,63
7.916601,Log,64
7.916601,Log,65
7.916601,Log,66
7.916601,Log,67
7.916601,Log,68
8.853854,Log,trial success
9.858656,Log,From CreateDotMotion: Southeast
9.858656,Log,Stimulus Direction is: Southeast
9.858656,Log,Coherence at 0
10.78347,Log,trial success
11.7862,Log,From CreateDotMotion: Northwest
11.7862,Log,Stimulus Direction is: Northwest
11.7862,Log,Coherence at 0
11.7862,Log,0
11.7862,Log,1
11.7862,Log,2
11.7862,Log,3
11.7862,Log,4
11.7862,Log,5
11.7862,Log,6
11.7862,Log,7
11.7862,Log,8
11.7862,Log,9
11.7862,Log,10
11.7862,Log,11
11.7862,Log,12
11.7862,Log,13
11.7862,Log,14
11.7862,Log,15
11.7862,Log,16
11.7862,Log,17
11.7862,Log,18
11.7862,Log,19
11.7862,Log,20
11.7862,Log,21
11.7862,Log,22
11.7862,Log,23
11.7862,Log,24
11.7862,Log,25
11.7862,Log,26
11.7862,Log,27
11.7862,Log,28
11.7862,Log,29
11.7862,Log,30
11.7862,Log,31
11.7862,Log,32
11.7862,Log,33
11.7862,Log,34
11.7862,Log,35
11.7862,Log,36
11.7862,Log,37
11.7862,Log,38
11.7862,Log,39
11.7862,Log,40
11.7862,Log,41
11.7862,Log,42
11.7862,Log,43
11.7862,Log,44
11.7862,Log,45
11.7862,Log,46
11.7862,Log,47
11.7862,Log,48
11.7862,Log,49
11.7862,Log,50
11.7862,Log,51
11.7862,Log,52
11.7862,Log,53
11.7862,Log,54
11.7862,Log,55
11.7862,Log,56
11.7862,Log,57
11.7862,Log,58
11.7862,Log,59
11.7862,Log,60
11.7862,Log,61
11.7862,Log,62
11.7862,Log,63
11.7862,Log,64
11.7862,Log,65
11.7862,Log,66
11.7862,Log,67
11.7862,Log,68
12.64431,Log,trial success
13.64571,Log,From CreateDotMotion: Northeast
13.64571,Log,Stimulus Direction is: Northeast
13.64571,Log,Coherence at 0
14.66033,Log,trial success
15.66104,Log,From CreateDotMotion: Southeast
15.66104,Log,Stimulus Direction is: Southeast
15.66104,Log,Coherence at 0
