directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,outcome,difficulty_level,target_direction,distractor_direction,target_movement_filename,distractor_movement_filename
my_experiment/P_210217081345/S001,my_experiment,P_210217081345,1,1,1,1,2.065069,4.245383,success,1,Southwest,Northeast,target_movement_T001.csv,distractor_movement_T001.csv
my_experiment/P_210217081345/S001,my_experiment,P_210217081345,1,2,1,2,4.245383,6.688038,success,1,Northeast,Southwest,target_movement_T002.csv,distractor_movement_T002.csv
my_experiment/P_210217081345/S001,my_experiment,P_210217081345,1,3,1,3,6.688038,8.139897,,1,,,target_movement_T003.csv,distractor_movement_T003.csv
