timestamp,log_type,message
0,Log,Loaded: C:\Users\aisli\OneDrive\Documents\GitHub\Senior Project\Senior-Project\participant_list.csv
1.931243,Log,Updating: C:\Users\aisli\OneDrive\Documents\GitHub\Senior Project\Senior-Project\participant_list.csv
2.931411,Log,From CreateDotMotion: Northwest
2.931411,Log,Stimulus Direction is: Northwest
2.931411,Log,Coherence at 0
2.931411,Log,0
2.931411,Log,1
2.931411,Log,2
2.931411,Log,3
2.931411,Log,4
2.931411,Log,5
2.931411,Log,6
2.931411,Log,7
2.931411,Log,8
2.931411,Log,9
2.931411,Log,10
2.931411,Log,11
2.931411,Log,12
2.931411,Log,13
2.931411,Log,14
2.931411,Log,15
2.931411,Log,16
2.931411,Log,17
2.931411,Log,18
2.931411,Log,19
2.931411,Log,20
2.931411,Log,21
2.931411,Log,22
2.931411,Log,23
2.931411,Log,24
2.931411,Log,25
2.931411,Log,26
2.931411,Log,27
2.931411,Log,28
2.931411,Log,29
2.931411,Log,30
2.931411,Log,31
2.931411,Log,32
2.931411,Log,33
2.931411,Log,34
2.931411,Log,35
2.931411,Log,36
2.931411,Log,37
2.931411,Log,38
2.931411,Log,39
2.931411,Log,40
2.931411,Log,41
2.931411,Log,42
2.931411,Log,43
2.931411,Log,44
2.931411,Log,45
2.931411,Log,46
2.931411,Log,47
2.931411,Log,48
2.931411,Log,49
2.931411,Log,50
2.931411,Log,51
2.931411,Log,52
2.931411,Log,53
2.931411,Log,54
2.931411,Log,55
2.931411,Log,56
2.931411,Log,57
2.931411,Log,58
2.931411,Log,59
2.931411,Log,60
2.931411,Log,61
2.931411,Log,62
2.931411,Log,63
2.931411,Log,64
2.931411,Log,65
2.931411,Log,66
2.931411,Log,67
2.931411,Log,68
